162 - NumBooks: 14, SignUp: 2, BxD: 1, DifferentBooks: 14, Deadline: 29999, ScoreHeuristic: 9.1E18
25430 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29937, ScoreHeuristic: 8.45E18
26084 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29935, ScoreHeuristic: 8.45E18
26141 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29933, ScoreHeuristic: 8.45E18
27372 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29931, ScoreHeuristic: 8.45E18
28646 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29929, ScoreHeuristic: 8.45E18
29848 - NumBooks: 13, SignUp: 2, BxD: 1, DifferentBooks: 13, Deadline: 29927, ScoreHeuristic: 8.45E18
616 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29925, ScoreHeuristic: 7.8E18
773 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29923, ScoreHeuristic: 7.8E18
967 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29921, ScoreHeuristic: 7.8E18
1031 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29919, ScoreHeuristic: 7.8E18
1407 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29917, ScoreHeuristic: 7.8E18
1412 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29915, ScoreHeuristic: 7.8E18
1479 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29913, ScoreHeuristic: 7.8E18
1495 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29911, ScoreHeuristic: 7.8E18
1505 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29909, ScoreHeuristic: 7.8E18
1792 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29907, ScoreHeuristic: 7.8E18
1916 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29905, ScoreHeuristic: 7.8E18
1949 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29903, ScoreHeuristic: 7.8E18
2188 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29901, ScoreHeuristic: 7.8E18
2275 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29899, ScoreHeuristic: 7.8E18
2289 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29897, ScoreHeuristic: 7.8E18
2762 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29895, ScoreHeuristic: 7.8E18
2848 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29893, ScoreHeuristic: 7.8E18
3001 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29891, ScoreHeuristic: 7.8E18
3199 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29889, ScoreHeuristic: 7.8E18
3253 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29887, ScoreHeuristic: 7.8E18
3294 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29885, ScoreHeuristic: 7.8E18
3369 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29883, ScoreHeuristic: 7.8E18
3616 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29881, ScoreHeuristic: 7.8E18
3833 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29879, ScoreHeuristic: 7.8E18
3910 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29877, ScoreHeuristic: 7.8E18
3932 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29875, ScoreHeuristic: 7.8E18
3974 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29873, ScoreHeuristic: 7.8E18
4179 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29871, ScoreHeuristic: 7.8E18
4508 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29869, ScoreHeuristic: 7.8E18
4529 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29867, ScoreHeuristic: 7.8E18
4672 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29865, ScoreHeuristic: 7.8E18
4856 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29863, ScoreHeuristic: 7.8E18
4974 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29861, ScoreHeuristic: 7.8E18
5078 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29859, ScoreHeuristic: 7.8E18
5134 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29857, ScoreHeuristic: 7.8E18
5292 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29855, ScoreHeuristic: 7.8E18
5318 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29853, ScoreHeuristic: 7.8E18
5415 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29851, ScoreHeuristic: 7.8E18
5762 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29849, ScoreHeuristic: 7.8E18
5829 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29847, ScoreHeuristic: 7.8E18
6081 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29845, ScoreHeuristic: 7.8E18
6278 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29843, ScoreHeuristic: 7.8E18
6521 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29841, ScoreHeuristic: 7.8E18
6865 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29839, ScoreHeuristic: 7.8E18
7489 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29837, ScoreHeuristic: 7.8E18
7763 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29835, ScoreHeuristic: 7.8E18
7797 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29833, ScoreHeuristic: 7.8E18
8058 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29831, ScoreHeuristic: 7.8E18
8146 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29829, ScoreHeuristic: 7.8E18
8201 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29827, ScoreHeuristic: 7.8E18
8561 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29825, ScoreHeuristic: 7.8E18
8588 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29823, ScoreHeuristic: 7.8E18
8679 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29821, ScoreHeuristic: 7.8E18
9003 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29819, ScoreHeuristic: 7.8E18
9073 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29817, ScoreHeuristic: 7.8E18
9137 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29815, ScoreHeuristic: 7.8E18
9141 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29813, ScoreHeuristic: 7.8E18
9395 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29811, ScoreHeuristic: 7.8E18
9422 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29809, ScoreHeuristic: 7.8E18
9555 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29807, ScoreHeuristic: 7.8E18
9604 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29805, ScoreHeuristic: 7.8E18
9642 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29803, ScoreHeuristic: 7.8E18
9713 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29801, ScoreHeuristic: 7.8E18
9740 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29799, ScoreHeuristic: 7.8E18
9810 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29797, ScoreHeuristic: 7.8E18
10048 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29795, ScoreHeuristic: 7.8E18
10100 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29793, ScoreHeuristic: 7.8E18
10158 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29791, ScoreHeuristic: 7.8E18
10224 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29789, ScoreHeuristic: 7.8E18
10452 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29787, ScoreHeuristic: 7.8E18
10611 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29785, ScoreHeuristic: 7.8E18
10615 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29783, ScoreHeuristic: 7.8E18
10935 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29781, ScoreHeuristic: 7.8E18
11033 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29779, ScoreHeuristic: 7.8E18
11255 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29777, ScoreHeuristic: 7.8E18
11339 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29775, ScoreHeuristic: 7.8E18
11523 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29773, ScoreHeuristic: 7.8E18
11703 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29771, ScoreHeuristic: 7.8E18
11716 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29769, ScoreHeuristic: 7.8E18
12064 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29767, ScoreHeuristic: 7.8E18
12588 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29765, ScoreHeuristic: 7.8E18
12689 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29763, ScoreHeuristic: 7.8E18
13280 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29761, ScoreHeuristic: 7.8E18
13413 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29759, ScoreHeuristic: 7.8E18
13448 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29757, ScoreHeuristic: 7.8E18
13450 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29755, ScoreHeuristic: 7.8E18
13683 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29753, ScoreHeuristic: 7.8E18
13989 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29751, ScoreHeuristic: 7.8E18
14110 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29749, ScoreHeuristic: 7.8E18
14142 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29747, ScoreHeuristic: 7.8E18
14240 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29745, ScoreHeuristic: 7.8E18
14248 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29743, ScoreHeuristic: 7.8E18
14353 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29741, ScoreHeuristic: 7.8E18
14597 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29739, ScoreHeuristic: 7.8E18
14607 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29737, ScoreHeuristic: 7.8E18
14763 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29735, ScoreHeuristic: 7.8E18
14865 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29733, ScoreHeuristic: 7.8E18
14934 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29731, ScoreHeuristic: 7.8E18
14956 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29729, ScoreHeuristic: 7.8E18
15238 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29727, ScoreHeuristic: 7.8E18
15588 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29725, ScoreHeuristic: 7.8E18
15723 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29723, ScoreHeuristic: 7.8E18
15936 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29721, ScoreHeuristic: 7.8E18
16535 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29719, ScoreHeuristic: 7.8E18
16595 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29717, ScoreHeuristic: 7.8E18
16625 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29715, ScoreHeuristic: 7.8E18
16649 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29713, ScoreHeuristic: 7.8E18
16694 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29711, ScoreHeuristic: 7.8E18
16697 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29709, ScoreHeuristic: 7.8E18
16726 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29707, ScoreHeuristic: 7.8E18
16793 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29705, ScoreHeuristic: 7.8E18
16956 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29703, ScoreHeuristic: 7.8E18
17008 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29701, ScoreHeuristic: 7.8E18
17177 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29699, ScoreHeuristic: 7.8E18
17291 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29697, ScoreHeuristic: 7.8E18
17298 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29695, ScoreHeuristic: 7.8E18
17323 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29693, ScoreHeuristic: 7.8E18
17347 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29691, ScoreHeuristic: 7.8E18
17392 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29689, ScoreHeuristic: 7.8E18
17605 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29687, ScoreHeuristic: 7.8E18
18106 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29685, ScoreHeuristic: 7.8E18
18486 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29683, ScoreHeuristic: 7.8E18
18489 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29681, ScoreHeuristic: 7.8E18
18654 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29679, ScoreHeuristic: 7.8E18
18893 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29677, ScoreHeuristic: 7.8E18
19133 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29675, ScoreHeuristic: 7.8E18
19185 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29673, ScoreHeuristic: 7.8E18
19246 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29671, ScoreHeuristic: 7.8E18
19364 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29669, ScoreHeuristic: 7.8E18
19502 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29667, ScoreHeuristic: 7.8E18
19938 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29665, ScoreHeuristic: 7.8E18
20099 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29663, ScoreHeuristic: 7.8E18
20100 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29661, ScoreHeuristic: 7.8E18
20487 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29659, ScoreHeuristic: 7.8E18
20608 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29657, ScoreHeuristic: 7.8E18
20778 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29655, ScoreHeuristic: 7.8E18
20854 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29653, ScoreHeuristic: 7.8E18
20988 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29651, ScoreHeuristic: 7.8E18
21295 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29649, ScoreHeuristic: 7.8E18
21307 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29647, ScoreHeuristic: 7.8E18
21376 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29645, ScoreHeuristic: 7.8E18
21559 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29643, ScoreHeuristic: 7.8E18
21563 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29641, ScoreHeuristic: 7.8E18
21959 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29639, ScoreHeuristic: 7.8E18
22090 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29637, ScoreHeuristic: 7.8E18
22324 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29635, ScoreHeuristic: 7.8E18
22656 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29633, ScoreHeuristic: 7.8E18
22679 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29631, ScoreHeuristic: 7.8E18
22715 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29629, ScoreHeuristic: 7.8E18
22724 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29627, ScoreHeuristic: 7.8E18
23020 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29625, ScoreHeuristic: 7.8E18
23061 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29623, ScoreHeuristic: 7.8E18
23086 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29621, ScoreHeuristic: 7.8E18
23109 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29619, ScoreHeuristic: 7.8E18
23510 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29617, ScoreHeuristic: 7.8E18
23543 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29615, ScoreHeuristic: 7.8E18
23610 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29613, ScoreHeuristic: 7.8E18
24072 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29611, ScoreHeuristic: 7.8E18
24601 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29609, ScoreHeuristic: 7.8E18
24806 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29607, ScoreHeuristic: 7.8E18
25451 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29605, ScoreHeuristic: 7.8E18
25959 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29603, ScoreHeuristic: 7.8E18
25982 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29601, ScoreHeuristic: 7.8E18
26045 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29599, ScoreHeuristic: 7.8E18
26210 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29597, ScoreHeuristic: 7.8E18
26395 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29595, ScoreHeuristic: 7.8E18
26583 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29593, ScoreHeuristic: 7.8E18
26865 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29591, ScoreHeuristic: 7.8E18
26984 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29589, ScoreHeuristic: 7.8E18
27428 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29587, ScoreHeuristic: 7.8E18
27812 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29585, ScoreHeuristic: 7.8E18
27857 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29583, ScoreHeuristic: 7.8E18
27925 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29581, ScoreHeuristic: 7.8E18
28332 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29579, ScoreHeuristic: 7.8E18
28412 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29577, ScoreHeuristic: 7.8E18
28670 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29575, ScoreHeuristic: 7.8E18
28813 - NumBooks: 12, SignUp: 2, BxD: 1, DifferentBooks: 12, Deadline: 29573, ScoreHeuristic: 7.8E18
