1949 - NumBooks: 20, SignUp: 10, BxD: 42726, DifferentBooks: 20, Deadline: 99990, ScoreHeuristic: 529984.0
8490 - NumBooks: 14, SignUp: 13, BxD: 39756, DifferentBooks: 14, Deadline: 99293, ScoreHeuristic: 86436.0
5771 - NumBooks: 19, SignUp: 19, BxD: 56130, DifferentBooks: 19, Deadline: 99274, ScoreHeuristic: 102669.65096952909
8279 - NumBooks: 11, SignUp: 13, BxD: 27122, DifferentBooks: 11, Deadline: 99261, ScoreHeuristic: 84457.30177514793
9128 - NumBooks: 18, SignUp: 15, BxD: 27647, DifferentBooks: 17, Deadline: 99246, ScoreHeuristic: 106711.11111111111
6644 - NumBooks: 20, SignUp: 18, BxD: 16943, DifferentBooks: 20, Deadline: 99228, ScoreHeuristic: 98561.11419753087
1023 - NumBooks: 15, SignUp: 13, BxD: 84528, DifferentBooks: 14, Deadline: 99215, ScoreHeuristic: 106326.15976331361
8887 - NumBooks: 18, SignUp: 19, BxD: 33452, DifferentBooks: 18, Deadline: 99196, ScoreHeuristic: 99922.53739612189
6871 - NumBooks: 20, SignUp: 21, BxD: 46343, DifferentBooks: 20, Deadline: 99175, ScoreHeuristic: 104452.08390022676
177 - NumBooks: 18, SignUp: 18, BxD: 81783, DifferentBooks: 17, Deadline: 99157, ScoreHeuristic: 111630.23456790124
5348 - NumBooks: 19, SignUp: 19, BxD: 64440, DifferentBooks: 18, Deadline: 99138, ScoreHeuristic: 94410.64819944599
7791 - NumBooks: 18, SignUp: 17, BxD: 7052, DifferentBooks: 18, Deadline: 99121, ScoreHeuristic: 87964.58131487889
8758 - NumBooks: 17, SignUp: 14, BxD: 93231, DifferentBooks: 16, Deadline: 99107, ScoreHeuristic: 93723.44897959183
6754 - NumBooks: 12, SignUp: 13, BxD: 2709, DifferentBooks: 12, Deadline: 99094, ScoreHeuristic: 75794.32544378698
7305 - NumBooks: 11, SignUp: 11, BxD: 51409, DifferentBooks: 11, Deadline: 99083, ScoreHeuristic: 67363.84297520661
4460 - NumBooks: 17, SignUp: 13, BxD: 84753, DifferentBooks: 17, Deadline: 99070, ScoreHeuristic: 71865.23668639053
2732 - NumBooks: 14, SignUp: 13, BxD: 36032, DifferentBooks: 14, Deadline: 99057, ScoreHeuristic: 71741.56213017751
8181 - NumBooks: 19, SignUp: 22, BxD: 43200, DifferentBooks: 19, Deadline: 99035, ScoreHeuristic: 92167.44008264462
806 - NumBooks: 13, SignUp: 15, BxD: 42883, DifferentBooks: 13, Deadline: 99020, ScoreHeuristic: 72720.11111111111
9927 - NumBooks: 12, SignUp: 13, BxD: 21980, DifferentBooks: 12, Deadline: 99007, ScoreHeuristic: 65811.98224852071
5804 - NumBooks: 17, SignUp: 17, BxD: 56486, DifferentBooks: 17, Deadline: 98990, ScoreHeuristic: 74016.00346020762
661 - NumBooks: 20, SignUp: 25, BxD: 96984, DifferentBooks: 20, Deadline: 98965, ScoreHeuristic: 87001.4016
1549 - NumBooks: 11, SignUp: 13, BxD: 268, DifferentBooks: 11, Deadline: 98952, ScoreHeuristic: 61962.69822485207
7984 - NumBooks: 19, SignUp: 23, BxD: 56141, DifferentBooks: 19, Deadline: 98929, ScoreHeuristic: 81324.1606805293
4074 - NumBooks: 20, SignUp: 22, BxD: 68375, DifferentBooks: 20, Deadline: 98907, ScoreHeuristic: 77081.95041322314
5020 - NumBooks: 12, SignUp: 19, BxD: 58125, DifferentBooks: 12, Deadline: 98888, ScoreHeuristic: 68285.94182825484
7358 - NumBooks: 20, SignUp: 25, BxD: 53614, DifferentBooks: 19, Deadline: 98863, ScoreHeuristic: 86647.8096
4059 - NumBooks: 10, SignUp: 15, BxD: 76207, DifferentBooks: 10, Deadline: 98848, ScoreHeuristic: 55758.95111111111
9566 - NumBooks: 10, SignUp: 10, BxD: 99940, DifferentBooks: 10, Deadline: 98838, ScoreHeuristic: 44563.21
5339 - NumBooks: 19, SignUp: 21, BxD: 17883, DifferentBooks: 19, Deadline: 98817, ScoreHeuristic: 62357.22448979592
416 - NumBooks: 17, SignUp: 23, BxD: 11604, DifferentBooks: 17, Deadline: 98794, ScoreHeuristic: 65180.31001890359
479 - NumBooks: 13, SignUp: 15, BxD: 57218, DifferentBooks: 12, Deadline: 98779, ScoreHeuristic: 60450.41777777778
1653 - NumBooks: 18, SignUp: 20, BxD: 61680, DifferentBooks: 18, Deadline: 98759, ScoreHeuristic: 59267.9025
6063 - NumBooks: 20, SignUp: 19, BxD: 92588, DifferentBooks: 20, Deadline: 98740, ScoreHeuristic: 57146.160664819945
9855 - NumBooks: 20, SignUp: 24, BxD: 15413, DifferentBooks: 20, Deadline: 98716, ScoreHeuristic: 64177.77777777778
1004 - NumBooks: 12, SignUp: 14, BxD: 84791, DifferentBooks: 11, Deadline: 98702, ScoreHeuristic: 49379.18877551021
3679 - NumBooks: 17, SignUp: 22, BxD: 95891, DifferentBooks: 17, Deadline: 98680, ScoreHeuristic: 59159.50619834711
2754 - NumBooks: 18, SignUp: 21, BxD: 65790, DifferentBooks: 18, Deadline: 98659, ScoreHeuristic: 56780.08163265306
587 - NumBooks: 12, SignUp: 16, BxD: 79988, DifferentBooks: 12, Deadline: 98643, ScoreHeuristic: 49062.25
8005 - NumBooks: 19, SignUp: 23, BxD: 26479, DifferentBooks: 19, Deadline: 98620, ScoreHeuristic: 57579.13232514178
1448 - NumBooks: 14, SignUp: 20, BxD: 9114, DifferentBooks: 14, Deadline: 98600, ScoreHeuristic: 52280.8225
1349 - NumBooks: 19, SignUp: 26, BxD: 15204, DifferentBooks: 19, Deadline: 98574, ScoreHeuristic: 58062.46301775148
5707 - NumBooks: 18, SignUp: 21, BxD: 78266, DifferentBooks: 18, Deadline: 98553, ScoreHeuristic: 51984.0
7709 - NumBooks: 19, SignUp: 27, BxD: 78111, DifferentBooks: 18, Deadline: 98526, ScoreHeuristic: 67927.80384087791
2415 - NumBooks: 15, SignUp: 20, BxD: 96351, DifferentBooks: 15, Deadline: 98506, ScoreHeuristic: 49062.25
6202 - NumBooks: 14, SignUp: 19, BxD: 18394, DifferentBooks: 14, Deadline: 98487, ScoreHeuristic: 45436.28808864266
2863 - NumBooks: 10, SignUp: 13, BxD: 47279, DifferentBooks: 9, Deadline: 98474, ScoreHeuristic: 38657.60946745562
4138 - NumBooks: 19, SignUp: 25, BxD: 54268, DifferentBooks: 19, Deadline: 98449, ScoreHeuristic: 51220.7424
1800 - NumBooks: 12, SignUp: 14, BxD: 21665, DifferentBooks: 12, Deadline: 98435, ScoreHeuristic: 37193.87755102041
1283 - NumBooks: 18, SignUp: 23, BxD: 52440, DifferentBooks: 17, Deadline: 98412, ScoreHeuristic: 57433.16446124764
1559 - NumBooks: 13, SignUp: 14, BxD: 7656, DifferentBooks: 13, Deadline: 98398, ScoreHeuristic: 36426.448979591834
555 - NumBooks: 17, SignUp: 22, BxD: 84764, DifferentBooks: 16, Deadline: 98376, ScoreHeuristic: 45562.842975206615
6441 - NumBooks: 16, SignUp: 24, BxD: 72006, DifferentBooks: 16, Deadline: 98352, ScoreHeuristic: 47360.640625
1737 - NumBooks: 18, SignUp: 27, BxD: 14054, DifferentBooks: 18, Deadline: 98325, ScoreHeuristic: 47475.567901234564
7021 - NumBooks: 16, SignUp: 19, BxD: 11863, DifferentBooks: 16, Deadline: 98306, ScoreHeuristic: 39391.803324099725
5263 - NumBooks: 17, SignUp: 27, BxD: 1837, DifferentBooks: 17, Deadline: 98279, ScoreHeuristic: 46848.1975308642
6338 - NumBooks: 18, SignUp: 28, BxD: 51867, DifferentBooks: 18, Deadline: 98251, ScoreHeuristic: 46825.86862244898
5023 - NumBooks: 19, SignUp: 24, BxD: 98433, DifferentBooks: 18, Deadline: 98227, ScoreHeuristic: 49821.960069444445
6636 - NumBooks: 15, SignUp: 28, BxD: 9367, DifferentBooks: 15, Deadline: 98199, ScoreHeuristic: 46194.29081632653
7368 - NumBooks: 10, SignUp: 17, BxD: 93072, DifferentBooks: 10, Deadline: 98182, ScoreHeuristic: 35609.91003460208
8226 - NumBooks: 18, SignUp: 26, BxD: 79006, DifferentBooks: 18, Deadline: 98156, ScoreHeuristic: 43906.36686390533
6979 - NumBooks: 19, SignUp: 28, BxD: 4232, DifferentBooks: 19, Deadline: 98128, ScoreHeuristic: 45095.55612244898
752 - NumBooks: 17, SignUp: 22, BxD: 91293, DifferentBooks: 17, Deadline: 98106, ScoreHeuristic: 39601.0
3546 - NumBooks: 10, SignUp: 17, BxD: 46279, DifferentBooks: 10, Deadline: 98089, ScoreHeuristic: 34793.221453287195
9053 - NumBooks: 17, SignUp: 26, BxD: 79392, DifferentBooks: 16, Deadline: 98063, ScoreHeuristic: 44067.69822485207
4592 - NumBooks: 16, SignUp: 27, BxD: 67965, DifferentBooks: 16, Deadline: 98036, ScoreHeuristic: 42283.544581618655
2652 - NumBooks: 17, SignUp: 26, BxD: 80534, DifferentBooks: 17, Deadline: 98010, ScoreHeuristic: 41349.658284023666
7511 - NumBooks: 14, SignUp: 27, BxD: 81809, DifferentBooks: 14, Deadline: 97983, ScoreHeuristic: 41752.11111111111
115 - NumBooks: 10, SignUp: 15, BxD: 56257, DifferentBooks: 10, Deadline: 97968, ScoreHeuristic: 31046.44
9918 - NumBooks: 10, SignUp: 18, BxD: 49105, DifferentBooks: 10, Deadline: 97950, ScoreHeuristic: 33733.444444444445
8050 - NumBooks: 17, SignUp: 26, BxD: 19336, DifferentBooks: 17, Deadline: 97924, ScoreHeuristic: 40416.46301775148
1296 - NumBooks: 11, SignUp: 18, BxD: 11319, DifferentBooks: 11, Deadline: 97906, ScoreHeuristic: 33590.74382716049
5064 - NumBooks: 17, SignUp: 22, BxD: 76336, DifferentBooks: 16, Deadline: 97884, ScoreHeuristic: 38594.38842975206
399 - NumBooks: 12, SignUp: 19, BxD: 60475, DifferentBooks: 11, Deadline: 97865, ScoreHeuristic: 44698.861495844874
2144 - NumBooks: 12, SignUp: 25, BxD: 29308, DifferentBooks: 12, Deadline: 97840, ScoreHeuristic: 37372.6224
3124 - NumBooks: 14, SignUp: 21, BxD: 13313, DifferentBooks: 14, Deadline: 97819, ScoreHeuristic: 34242.621315192744
6129 - NumBooks: 12, SignUp: 16, BxD: 26755, DifferentBooks: 11, Deadline: 97803, ScoreHeuristic: 34248.12890625
2143 - NumBooks: 12, SignUp: 17, BxD: 53327, DifferentBooks: 12, Deadline: 97786, ScoreHeuristic: 30112.456747404845
4439 - NumBooks: 18, SignUp: 24, BxD: 58435, DifferentBooks: 18, Deadline: 97762, ScoreHeuristic: 35642.29340277778
2939 - NumBooks: 19, SignUp: 26, BxD: 76288, DifferentBooks: 19, Deadline: 97736, ScoreHeuristic: 36908.32100591716
6997 - NumBooks: 16, SignUp: 23, BxD: 59509, DifferentBooks: 16, Deadline: 97713, ScoreHeuristic: 34693.11153119092
4112 - NumBooks: 17, SignUp: 26, BxD: 62512, DifferentBooks: 17, Deadline: 97687, ScoreHeuristic: 36451.62130177515
6772 - NumBooks: 13, SignUp: 23, BxD: 16180, DifferentBooks: 13, Deadline: 97664, ScoreHeuristic: 33904.017013232515
2394 - NumBooks: 19, SignUp: 32, BxD: 16087, DifferentBooks: 19, Deadline: 97632, ScoreHeuristic: 39800.25
6313 - NumBooks: 12, SignUp: 22, BxD: 46484, DifferentBooks: 12, Deadline: 97610, ScoreHeuristic: 32711.654958677685
8283 - NumBooks: 17, SignUp: 26, BxD: 404, DifferentBooks: 17, Deadline: 97584, ScoreHeuristic: 34839.658284023666
8795 - NumBooks: 18, SignUp: 23, BxD: 9789, DifferentBooks: 17, Deadline: 97561, ScoreHeuristic: 33076.53875236295
2737 - NumBooks: 19, SignUp: 29, BxD: 90190, DifferentBooks: 18, Deadline: 97532, ScoreHeuristic: 40887.62901307967
2942 - NumBooks: 15, SignUp: 24, BxD: 70920, DifferentBooks: 14, Deadline: 97508, ScoreHeuristic: 34720.11111111111
1348 - NumBooks: 17, SignUp: 29, BxD: 20097, DifferentBooks: 16, Deadline: 97479, ScoreHeuristic: 39669.65041617122
4924 - NumBooks: 18, SignUp: 29, BxD: 94052, DifferentBooks: 18, Deadline: 97450, ScoreHeuristic: 35007.70035671819
6953 - NumBooks: 16, SignUp: 25, BxD: 51822, DifferentBooks: 16, Deadline: 97425, ScoreHeuristic: 32342.4256
7075 - NumBooks: 18, SignUp: 32, BxD: 69367, DifferentBooks: 18, Deadline: 97393, ScoreHeuristic: 35109.390625
9367 - NumBooks: 15, SignUp: 24, BxD: 37775, DifferentBooks: 15, Deadline: 97369, ScoreHeuristic: 30160.11111111111
6213 - NumBooks: 19, SignUp: 33, BxD: 41216, DifferentBooks: 17, Deadline: 97336, ScoreHeuristic: 40254.95041322314
1427 - NumBooks: 11, SignUp: 22, BxD: 52413, DifferentBooks: 11, Deadline: 97314, ScoreHeuristic: 28392.25
1356 - NumBooks: 20, SignUp: 34, BxD: 94989, DifferentBooks: 19, Deadline: 97280, ScoreHeuristic: 39402.25
906 - NumBooks: 12, SignUp: 24, BxD: 47789, DifferentBooks: 11, Deadline: 97256, ScoreHeuristic: 37361.66840277778
5311 - NumBooks: 19, SignUp: 38, BxD: 29805, DifferentBooks: 18, Deadline: 97218, ScoreHeuristic: 36531.28047091413
1351 - NumBooks: 11, SignUp: 18, BxD: 89565, DifferentBooks: 11, Deadline: 97200, ScoreHeuristic: 24388.027777777777
2919 - NumBooks: 18, SignUp: 28, BxD: 16154, DifferentBooks: 18, Deadline: 97172, ScoreHeuristic: 30412.86862244898
5853 - NumBooks: 17, SignUp: 32, BxD: 8504, DifferentBooks: 17, Deadline: 97140, ScoreHeuristic: 31773.0625
6783 - NumBooks: 13, SignUp: 26, BxD: 27422, DifferentBooks: 13, Deadline: 97114, ScoreHeuristic: 28056.25
2044 - NumBooks: 20, SignUp: 37, BxD: 98595, DifferentBooks: 20, Deadline: 97077, ScoreHeuristic: 32751.216946676406
4589 - NumBooks: 18, SignUp: 27, BxD: 65925, DifferentBooks: 17, Deadline: 97050, ScoreHeuristic: 32266.803840877914
7193 - NumBooks: 18, SignUp: 23, BxD: 82299, DifferentBooks: 18, Deadline: 97027, ScoreHeuristic: 25253.35538752363
8505 - NumBooks: 19, SignUp: 31, BxD: 1104, DifferentBooks: 19, Deadline: 96996, ScoreHeuristic: 29064.75026014568
92 - NumBooks: 10, SignUp: 21, BxD: 71484, DifferentBooks: 10, Deadline: 96975, ScoreHeuristic: 23848.183673469386
8285 - NumBooks: 13, SignUp: 26, BxD: 31612, DifferentBooks: 13, Deadline: 96949, ScoreHeuristic: 26131.96597633136
220 - NumBooks: 19, SignUp: 32, BxD: 44010, DifferentBooks: 18, Deadline: 96917, ScoreHeuristic: 31561.7431640625
8109 - NumBooks: 13, SignUp: 23, BxD: 9035, DifferentBooks: 12, Deadline: 96894, ScoreHeuristic: 27512.712665406427
7201 - NumBooks: 19, SignUp: 36, BxD: 32738, DifferentBooks: 19, Deadline: 96858, ScoreHeuristic: 30208.37114197531
7175 - NumBooks: 12, SignUp: 25, BxD: 94325, DifferentBooks: 12, Deadline: 96833, ScoreHeuristic: 25090.56
462 - NumBooks: 16, SignUp: 25, BxD: 54911, DifferentBooks: 15, Deadline: 96808, ScoreHeuristic: 28682.8096
5219 - NumBooks: 16, SignUp: 31, BxD: 38835, DifferentBooks: 15, Deadline: 96777, ScoreHeuristic: 29517.45681581686
6342 - NumBooks: 19, SignUp: 30, BxD: 67341, DifferentBooks: 18, Deadline: 96747, ScoreHeuristic: 33354.93444444444
8981 - NumBooks: 10, SignUp: 22, BxD: 48087, DifferentBooks: 10, Deadline: 96725, ScoreHeuristic: 22910.95041322314
1789 - NumBooks: 12, SignUp: 24, BxD: 34232, DifferentBooks: 12, Deadline: 96701, ScoreHeuristic: 23818.777777777777
1342 - NumBooks: 12, SignUp: 25, BxD: 28986, DifferentBooks: 12, Deadline: 96676, ScoreHeuristic: 24261.1776
8124 - NumBooks: 19, SignUp: 37, BxD: 72572, DifferentBooks: 18, Deadline: 96639, ScoreHeuristic: 31472.677867056245
3245 - NumBooks: 13, SignUp: 27, BxD: 26673, DifferentBooks: 13, Deadline: 96612, ScoreHeuristic: 24649.0
751 - NumBooks: 18, SignUp: 36, BxD: 36888, DifferentBooks: 16, Deadline: 96576, ScoreHeuristic: 32400.0
9100 - NumBooks: 16, SignUp: 25, BxD: 54927, DifferentBooks: 15, Deadline: 96551, ScoreHeuristic: 26896.0
2312 - NumBooks: 16, SignUp: 25, BxD: 76746, DifferentBooks: 16, Deadline: 96526, ScoreHeuristic: 23482.4976
2097 - NumBooks: 17, SignUp: 29, BxD: 19928, DifferentBooks: 16, Deadline: 96497, ScoreHeuristic: 28712.718192627824
5912 - NumBooks: 16, SignUp: 31, BxD: 20599, DifferentBooks: 16, Deadline: 96466, ScoreHeuristic: 26056.208116545266
5569 - NumBooks: 13, SignUp: 27, BxD: 56107, DifferentBooks: 12, Deadline: 96439, ScoreHeuristic: 25022.55281207133
1229 - NumBooks: 14, SignUp: 27, BxD: 67048, DifferentBooks: 14, Deadline: 96412, ScoreHeuristic: 24162.975308641977
7630 - NumBooks: 15, SignUp: 28, BxD: 83429, DifferentBooks: 15, Deadline: 96384, ScoreHeuristic: 24458.725765306124
9316 - NumBooks: 16, SignUp: 32, BxD: 11827, DifferentBooks: 15, Deadline: 96352, ScoreHeuristic: 29048.94140625
1195 - NumBooks: 13, SignUp: 24, BxD: 53038, DifferentBooks: 13, Deadline: 96328, ScoreHeuristic: 22238.265625
1201 - NumBooks: 20, SignUp: 35, BxD: 25660, DifferentBooks: 20, Deadline: 96293, ScoreHeuristic: 26839.80081632653
5851 - NumBooks: 20, SignUp: 34, BxD: 20196, DifferentBooks: 20, Deadline: 96259, ScoreHeuristic: 26329.834775086507
6253 - NumBooks: 19, SignUp: 34, BxD: 93108, DifferentBooks: 18, Deadline: 96225, ScoreHeuristic: 29140.498269896194
7308 - NumBooks: 16, SignUp: 35, BxD: 9068, DifferentBooks: 16, Deadline: 96190, ScoreHeuristic: 26160.751836734693
917 - NumBooks: 10, SignUp: 22, BxD: 49042, DifferentBooks: 10, Deadline: 96168, ScoreHeuristic: 20722.911157024795
3612 - NumBooks: 10, SignUp: 19, BxD: 88476, DifferentBooks: 10, Deadline: 96149, ScoreHeuristic: 19247.91135734072
9027 - NumBooks: 15, SignUp: 33, BxD: 88741, DifferentBooks: 14, Deadline: 96116, ScoreHeuristic: 31146.901744719926
7104 - NumBooks: 18, SignUp: 38, BxD: 88922, DifferentBooks: 18, Deadline: 96078, ScoreHeuristic: 27129.557479224375
3216 - NumBooks: 11, SignUp: 19, BxD: 252, DifferentBooks: 10, Deadline: 96059, ScoreHeuristic: 25030.57063711911
3548 - NumBooks: 11, SignUp: 24, BxD: 97206, DifferentBooks: 11, Deadline: 96035, ScoreHeuristic: 21291.67361111111
4637 - NumBooks: 19, SignUp: 32, BxD: 17098, DifferentBooks: 19, Deadline: 96003, ScoreHeuristic: 24423.8291015625
9218 - NumBooks: 11, SignUp: 32, BxD: 704, DifferentBooks: 11, Deadline: 95971, ScoreHeuristic: 24404.2978515625
6760 - NumBooks: 18, SignUp: 30, BxD: 14204, DifferentBooks: 18, Deadline: 95941, ScoreHeuristic: 23613.444444444445
9610 - NumBooks: 16, SignUp: 31, BxD: 42649, DifferentBooks: 15, Deadline: 95910, ScoreHeuristic: 28910.96878251821
7841 - NumBooks: 19, SignUp: 39, BxD: 77728, DifferentBooks: 19, Deadline: 95871, ScoreHeuristic: 26862.369493754108
7956 - NumBooks: 16, SignUp: 31, BxD: 4482, DifferentBooks: 16, Deadline: 95840, ScoreHeuristic: 23865.26638917794
4330 - NumBooks: 11, SignUp: 17, BxD: 53194, DifferentBooks: 11, Deadline: 95823, ScoreHeuristic: 17595.24221453287
9948 - NumBooks: 13, SignUp: 28, BxD: 45065, DifferentBooks: 13, Deadline: 95795, ScoreHeuristic: 22564.331632653062
1109 - NumBooks: 10, SignUp: 21, BxD: 43419, DifferentBooks: 10, Deadline: 95774, ScoreHeuristic: 18664.7641723356
9097 - NumBooks: 17, SignUp: 33, BxD: 27292, DifferentBooks: 16, Deadline: 95741, ScoreHeuristic: 26214.553719008265
2469 - NumBooks: 10, SignUp: 26, BxD: 72741, DifferentBooks: 9, Deadline: 95715, ScoreHeuristic: 24204.17899408284
2541 - NumBooks: 18, SignUp: 38, BxD: 95008, DifferentBooks: 18, Deadline: 95677, ScoreHeuristic: 24106.648199445983
4277 - NumBooks: 17, SignUp: 36, BxD: 24737, DifferentBooks: 16, Deadline: 95641, ScoreHeuristic: 27473.0625
