1949 - NumBooks: 20, SignUp: 10, BxD: 42726, DifferentBooks: 0 ScoreHeuristic: 529984.0
7193 - NumBooks: 18, SignUp: 23, BxD: 82299, DifferentBooks: 0 ScoreHeuristic: 25253.35538752363
9985 - NumBooks: 19, SignUp: 44, BxD: 64953, DifferentBooks: 0 ScoreHeuristic: 25129.45506198347
7175 - NumBooks: 12, SignUp: 25, BxD: 94325, DifferentBooks: 0 ScoreHeuristic: 25090.56
3216 - NumBooks: 11, SignUp: 19, BxD: 252, DifferentBooks: 0 ScoreHeuristic: 25030.57063711911
5569 - NumBooks: 13, SignUp: 27, BxD: 56107, DifferentBooks: 0 ScoreHeuristic: 25022.55281207133
3245 - NumBooks: 13, SignUp: 27, BxD: 26673, DifferentBooks: 0 ScoreHeuristic: 24649.0
7630 - NumBooks: 15, SignUp: 28, BxD: 83429, DifferentBooks: 0 ScoreHeuristic: 24458.725765306124
4637 - NumBooks: 19, SignUp: 32, BxD: 17098, DifferentBooks: 0 ScoreHeuristic: 24423.8291015625
9218 - NumBooks: 11, SignUp: 32, BxD: 704, DifferentBooks: 0 ScoreHeuristic: 24404.2978515625
1351 - NumBooks: 11, SignUp: 18, BxD: 89565, DifferentBooks: 0 ScoreHeuristic: 24388.027777777777
1342 - NumBooks: 12, SignUp: 25, BxD: 28986, DifferentBooks: 0 ScoreHeuristic: 24261.1776
2469 - NumBooks: 10, SignUp: 26, BxD: 72741, DifferentBooks: 0 ScoreHeuristic: 24204.17899408284
1229 - NumBooks: 14, SignUp: 27, BxD: 67048, DifferentBooks: 0 ScoreHeuristic: 24162.975308641977
2541 - NumBooks: 18, SignUp: 38, BxD: 95008, DifferentBooks: 0 ScoreHeuristic: 24106.648199445983
3854 - NumBooks: 19, SignUp: 40, BxD: 85692, DifferentBooks: 0 ScoreHeuristic: 24001.755625
7731 - NumBooks: 18, SignUp: 38, BxD: 35640, DifferentBooks: 0 ScoreHeuristic: 23927.204986149583
7956 - NumBooks: 16, SignUp: 31, BxD: 4482, DifferentBooks: 0 ScoreHeuristic: 23865.26638917794
92 - NumBooks: 10, SignUp: 21, BxD: 71484, DifferentBooks: 0 ScoreHeuristic: 23848.183673469386
1789 - NumBooks: 12, SignUp: 24, BxD: 34232, DifferentBooks: 0 ScoreHeuristic: 23818.777777777777
6760 - NumBooks: 18, SignUp: 30, BxD: 14204, DifferentBooks: 0 ScoreHeuristic: 23613.444444444445
2312 - NumBooks: 16, SignUp: 25, BxD: 76746, DifferentBooks: 0 ScoreHeuristic: 23482.4976
5002 - NumBooks: 12, SignUp: 21, BxD: 95247, DifferentBooks: 0 ScoreHeuristic: 23104.0
8981 - NumBooks: 10, SignUp: 22, BxD: 48087, DifferentBooks: 0 ScoreHeuristic: 22910.95041322314
7038 - NumBooks: 17, SignUp: 36, BxD: 9256, DifferentBooks: 0 ScoreHeuristic: 22910.185956790123
3091 - NumBooks: 15, SignUp: 24, BxD: 65515, DifferentBooks: 0 ScoreHeuristic: 22876.5625
7786 - NumBooks: 18, SignUp: 35, BxD: 40036, DifferentBooks: 0 ScoreHeuristic: 22732.023673469386
9948 - NumBooks: 13, SignUp: 28, BxD: 45065, DifferentBooks: 0 ScoreHeuristic: 22564.331632653062
7285 - NumBooks: 13, SignUp: 33, BxD: 17979, DifferentBooks: 0 ScoreHeuristic: 22273.30119375574
1195 - NumBooks: 13, SignUp: 24, BxD: 53038, DifferentBooks: 0 ScoreHeuristic: 22238.265625
8449 - NumBooks: 14, SignUp: 35, BxD: 88554, DifferentBooks: 0 ScoreHeuristic: 22064.980408163265
6976 - NumBooks: 20, SignUp: 44, BxD: 79144, DifferentBooks: 0 ScoreHeuristic: 21602.318698347106
350 - NumBooks: 12, SignUp: 30, BxD: 11333, DifferentBooks: 0 ScoreHeuristic: 21472.01777777778
7407 - NumBooks: 17, SignUp: 36, BxD: 99684, DifferentBooks: 0 ScoreHeuristic: 21421.574845679013
7360 - NumBooks: 10, SignUp: 20, BxD: 36772, DifferentBooks: 0 ScoreHeuristic: 21389.0625
7839 - NumBooks: 19, SignUp: 42, BxD: 70380, DifferentBooks: 0 ScoreHeuristic: 21302.097505668935
3548 - NumBooks: 11, SignUp: 24, BxD: 97206, DifferentBooks: 0 ScoreHeuristic: 21291.67361111111
5107 - NumBooks: 10, SignUp: 22, BxD: 84724, DifferentBooks: 0 ScoreHeuristic: 21262.942148760332
2110 - NumBooks: 14, SignUp: 37, BxD: 42423, DifferentBooks: 0 ScoreHeuristic: 21205.65668371074
973 - NumBooks: 15, SignUp: 30, BxD: 31679, DifferentBooks: 0 ScoreHeuristic: 21121.777777777777
7078 - NumBooks: 18, SignUp: 43, BxD: 27950, DifferentBooks: 0 ScoreHeuristic: 21058.734451054625
2426 - NumBooks: 16, SignUp: 32, BxD: 35935, DifferentBooks: 0 ScoreHeuristic: 20826.09765625
917 - NumBooks: 10, SignUp: 22, BxD: 49042, DifferentBooks: 0 ScoreHeuristic: 20722.911157024795
6115 - NumBooks: 19, SignUp: 37, BxD: 14904, DifferentBooks: 0 ScoreHeuristic: 20720.43535427319
561 - NumBooks: 17, SignUp: 34, BxD: 93709, DifferentBooks: 0 ScoreHeuristic: 20415.36678200692
1967 - NumBooks: 15, SignUp: 30, BxD: 82909, DifferentBooks: 0 ScoreHeuristic: 20182.937777777777
5687 - NumBooks: 18, SignUp: 42, BxD: 30890, DifferentBooks: 0 ScoreHeuristic: 20062.698979591838
3993 - NumBooks: 15, SignUp: 30, BxD: 13197, DifferentBooks: 0 ScoreHeuristic: 19993.96
7010 - NumBooks: 13, SignUp: 33, BxD: 16844, DifferentBooks: 0 ScoreHeuristic: 19983.677685950413
2901 - NumBooks: 19, SignUp: 36, BxD: 13027, DifferentBooks: 0 ScoreHeuristic: 19951.5625
29 - NumBooks: 18, SignUp: 46, BxD: 48077, DifferentBooks: 0 ScoreHeuristic: 19728.034499054822
2868 - NumBooks: 17, SignUp: 34, BxD: 33630, DifferentBooks: 0 ScoreHeuristic: 19575.30190311419
9294 - NumBooks: 20, SignUp: 53, BxD: 11082, DifferentBooks: 0 ScoreHeuristic: 19547.205411178355
8409 - NumBooks: 17, SignUp: 37, BxD: 25926, DifferentBooks: 0 ScoreHeuristic: 19479.105916727538
3631 - NumBooks: 12, SignUp: 26, BxD: 39819, DifferentBooks: 0 ScoreHeuristic: 19449.520710059172
6960 - NumBooks: 15, SignUp: 39, BxD: 44615, DifferentBooks: 0 ScoreHeuristic: 19385.207100591717
1668 - NumBooks: 19, SignUp: 38, BxD: 10851, DifferentBooks: 0 ScoreHeuristic: 19357.59626038781
1476 - NumBooks: 17, SignUp: 39, BxD: 2957, DifferentBooks: 0 ScoreHeuristic: 19292.497698882315
