309 - NumBooks: 1, SignUp: 173, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 8.986601623843095E7
319 - NumBooks: 783, SignUp: 50, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 172553.6414826731
813 - NumBooks: 952, SignUp: 63, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 170907.7355784899
230 - NumBooks: 892, SignUp: 58, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 170238.67734184174
112 - NumBooks: 452, SignUp: 31, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 169036.90686301133
387 - NumBooks: 943, SignUp: 63, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 162705.55643725942
43 - NumBooks: 827, SignUp: 55, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 160913.38541049307
692 - NumBooks: 857, SignUp: 58, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 156369.97628930266
847 - NumBooks: 524, SignUp: 35, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 149103.04393656645
497 - NumBooks: 863, SignUp: 60, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 144703.27249121046
219 - NumBooks: 712, SignUp: 49, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 143987.27591937472
481 - NumBooks: 998, SignUp: 70, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 143830.37885567636
987 - NumBooks: 808, SignUp: 55, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 143370.18166589172
201 - NumBooks: 694, SignUp: 49, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 140221.62783709101
457 - NumBooks: 642, SignUp: 45, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 139042.4553584073
273 - NumBooks: 721, SignUp: 54, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 127561.15683477206
156 - NumBooks: 983, SignUp: 76, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 126832.55767809453
527 - NumBooks: 767, SignUp: 57, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 122814.52329876059
949 - NumBooks: 964, SignUp: 73, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 121764.05896192256
927 - NumBooks: 769, SignUp: 58, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 115886.30212062129
893 - NumBooks: 881, SignUp: 72, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 114155.97753987454
142 - NumBooks: 825, SignUp: 65, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 112899.16931426228
352 - NumBooks: 810, SignUp: 65, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 111894.99396592463
330 - NumBooks: 447, SignUp: 36, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 110985.85770792143
993 - NumBooks: 880, SignUp: 69, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 109566.82800249122
944 - NumBooks: 962, SignUp: 78, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 107082.38426818835
420 - NumBooks: 933, SignUp: 76, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 106824.50976170409
86 - NumBooks: 927, SignUp: 71, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 105899.8925753895
390 - NumBooks: 610, SignUp: 50, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 105142.38813775808
723 - NumBooks: 749, SignUp: 63, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 103765.2829967124
969 - NumBooks: 962, SignUp: 81, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 102884.65944967781
895 - NumBooks: 966, SignUp: 79, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 100246.02973580093
261 - NumBooks: 579, SignUp: 47, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 100230.6592827895
970 - NumBooks: 948, SignUp: 77, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 100074.92348247473
517 - NumBooks: 640, SignUp: 53, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 97649.06191244972
99 - NumBooks: 868, SignUp: 74, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 97351.78192459683
106 - NumBooks: 698, SignUp: 61, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 96935.68676184434
503 - NumBooks: 784, SignUp: 67, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 96109.6903472355
732 - NumBooks: 431, SignUp: 39, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 95487.49401563627
646 - NumBooks: 822, SignUp: 72, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 94779.42037754842
445 - NumBooks: 966, SignUp: 80, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 93414.2481838457
23 - NumBooks: 914, SignUp: 78, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 93102.13574716696
880 - NumBooks: 877, SignUp: 73, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 92961.91654513944
75 - NumBooks: 605, SignUp: 54, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 90638.94875482497
773 - NumBooks: 414, SignUp: 38, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 89766.16560840863
952 - NumBooks: 844, SignUp: 74, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 83689.19452148354
948 - NumBooks: 941, SignUp: 86, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 81448.71761358419
624 - NumBooks: 337, SignUp: 32, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 81389.55789363118
221 - NumBooks: 460, SignUp: 44, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 80655.71601260397
881 - NumBooks: 553, SignUp: 54, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 79384.04422692824
211 - NumBooks: 749, SignUp: 68, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 79155.51297086224
108 - NumBooks: 470, SignUp: 43, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 78814.87025254316
37 - NumBooks: 802, SignUp: 77, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 75572.34729380145
11 - NumBooks: 868, SignUp: 85, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 75224.7547794218
938 - NumBooks: 779, SignUp: 76, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 74661.55863971844
789 - NumBooks: 651, SignUp: 63, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 74397.16658366671
837 - NumBooks: 917, SignUp: 92, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 74016.29170372502
385 - NumBooks: 681, SignUp: 69, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 70748.72417978119
573 - NumBooks: 455, SignUp: 45, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 69329.00288578078
128 - NumBooks: 516, SignUp: 54, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 69226.40685858607
665 - NumBooks: 864, SignUp: 89, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 68105.27138452376
281 - NumBooks: 628, SignUp: 63, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 67422.02333270201
288 - NumBooks: 384, SignUp: 40, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 66230.91964371673
344 - NumBooks: 872, SignUp: 89, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 66126.18072073077
502 - NumBooks: 821, SignUp: 84, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 65808.33803925567
706 - NumBooks: 923, SignUp: 98, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 65678.91763799106
105 - NumBooks: 846, SignUp: 84, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 65667.358137312
81 - NumBooks: 551, SignUp: 58, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 64721.91462550579
400 - NumBooks: 503, SignUp: 51, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 64493.55317681226
258 - NumBooks: 709, SignUp: 75, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 64436.1474774974
839 - NumBooks: 594, SignUp: 61, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 64140.64783703489
188 - NumBooks: 665, SignUp: 69, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 63856.94055115051
242 - NumBooks: 502, SignUp: 53, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 63721.51271717781
425 - NumBooks: 824, SignUp: 88, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 62315.15889367295
98 - NumBooks: 861, SignUp: 93, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 61958.21816909456
18 - NumBooks: 598, SignUp: 62, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 61896.6613969152
928 - NumBooks: 519, SignUp: 57, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 60021.23597691371
819 - NumBooks: 506, SignUp: 56, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 58886.071519380246
304 - NumBooks: 812, SignUp: 89, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 58496.23750460979
193 - NumBooks: 289, SignUp: 31, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 58300.487137251184
500 - NumBooks: 589, SignUp: 68, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 58226.65486336499
664 - NumBooks: 889, SignUp: 100, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 57151.07911651464
194 - NumBooks: 555, SignUp: 61, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 56722.68731695378
373 - NumBooks: 963, SignUp: 109, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 56233.40096322681
468 - NumBooks: 827, SignUp: 91, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 56020.629254566724
262 - NumBooks: 486, SignUp: 55, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 55554.128490343406
739 - NumBooks: 950, SignUp: 106, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 55330.4097329228
508 - NumBooks: 690, SignUp: 76, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 54909.80056631065
663 - NumBooks: 542, SignUp: 61, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 54230.0596656896
226 - NumBooks: 993, SignUp: 114, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 53662.86685330635
615 - NumBooks: 979, SignUp: 114, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 52544.61335862802
578 - NumBooks: 942, SignUp: 107, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 51954.48290581106
745 - NumBooks: 714, SignUp: 83, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 50794.897605839986
438 - NumBooks: 474, SignUp: 58, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 50276.02975592222
449 - NumBooks: 620, SignUp: 74, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 50223.165370008624
16 - NumBooks: 626, SignUp: 73, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 50133.76197360244
166 - NumBooks: 591, SignUp: 69, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 50054.23451639328
743 - NumBooks: 342, SignUp: 42, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 49389.515524197646
584 - NumBooks: 555, SignUp: 69, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 48112.976820671895
136 - NumBooks: 905, SignUp: 109, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 48107.51829697934
197 - NumBooks: 953, SignUp: 116, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 47278.45276337027
939 - NumBooks: 577, SignUp: 72, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 47078.85749719979
724 - NumBooks: 539, SignUp: 68, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 46894.51970722418
941 - NumBooks: 881, SignUp: 110, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 45125.408644998264
57 - NumBooks: 465, SignUp: 59, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 45091.93625813125
419 - NumBooks: 901, SignUp: 117, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 45063.74133944888
78 - NumBooks: 533, SignUp: 68, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 44495.8270624878
126 - NumBooks: 650, SignUp: 80, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 43879.15362996465
94 - NumBooks: 721, SignUp: 91, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 43516.92974279929
657 - NumBooks: 853, SignUp: 107, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 43408.90376184319
759 - NumBooks: 894, SignUp: 111, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 43342.88033269641
248 - NumBooks: 955, SignUp: 124, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 43294.226430653725
923 - NumBooks: 399, SignUp: 49, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 43073.77270417361
431 - NumBooks: 237, SignUp: 30, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 42342.22593560602
516 - NumBooks: 244, SignUp: 31, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 41908.250506180484
467 - NumBooks: 703, SignUp: 96, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 41509.650428539666
570 - NumBooks: 868, SignUp: 110, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 41256.52524853724
380 - NumBooks: 526, SignUp: 70, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 41060.333313209885
168 - NumBooks: 952, SignUp: 126, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 40792.208577732854
865 - NumBooks: 692, SignUp: 92, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 40179.785612860076
909 - NumBooks: 779, SignUp: 105, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 40167.480066665
636 - NumBooks: 856, SignUp: 114, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 39923.93297300513
700 - NumBooks: 986, SignUp: 130, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 38904.909339498336
551 - NumBooks: 834, SignUp: 114, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 38637.97331632524
244 - NumBooks: 946, SignUp: 133, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 38305.01692647746
113 - NumBooks: 447, SignUp: 59, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 38302.27799606258
628 - NumBooks: 655, SignUp: 90, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 38137.42630673219
541 - NumBooks: 356, SignUp: 48, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 37560.76317780799
51 - NumBooks: 670, SignUp: 93, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 36988.62068204375
545 - NumBooks: 853, SignUp: 119, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 36055.35133154897
159 - NumBooks: 920, SignUp: 127, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 35941.44236228707
30 - NumBooks: 705, SignUp: 101, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 35280.9748623449
62 - NumBooks: 673, SignUp: 96, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 34936.61318709979
49 - NumBooks: 333, SignUp: 48, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 34875.01547071225
296 - NumBooks: 963, SignUp: 142, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 34736.883324264
561 - NumBooks: 562, SignUp: 81, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 34545.52328744373
649 - NumBooks: 551, SignUp: 78, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 33579.15997540535
499 - NumBooks: 711, SignUp: 104, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 33076.1595587913
217 - NumBooks: 639, SignUp: 94, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 32834.55065651633
741 - NumBooks: 636, SignUp: 92, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 32172.48459553946
524 - NumBooks: 818, SignUp: 121, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 32079.869089742584
365 - NumBooks: 963, SignUp: 139, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 31867.484433475576
198 - NumBooks: 885, SignUp: 131, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 31794.02989183077
566 - NumBooks: 769, SignUp: 111, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 31739.466262325877
681 - NumBooks: 632, SignUp: 96, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 31564.50745033006
687 - NumBooks: 816, SignUp: 122, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 31204.611225930472
350 - NumBooks: 905, SignUp: 136, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 31086.090100236055
602 - NumBooks: 873, SignUp: 134, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 31059.03030783127
795 - NumBooks: 581, SignUp: 83, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 30713.344550507813
678 - NumBooks: 936, SignUp: 141, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 30615.99161136272
604 - NumBooks: 298, SignUp: 47, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 30459.520418580163
764 - NumBooks: 635, SignUp: 98, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 30247.61310784826
440 - NumBooks: 385, SignUp: 60, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 30159.96784920774
40 - NumBooks: 885, SignUp: 137, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 30133.517224029725
270 - NumBooks: 939, SignUp: 142, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 30067.672559910952
621 - NumBooks: 869, SignUp: 130, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 28939.56963762585
114 - NumBooks: 194, SignUp: 31, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 28538.474136674453
937 - NumBooks: 580, SignUp: 91, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 28516.540904252444
540 - NumBooks: 446, SignUp: 67, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 28419.94187827588
834 - NumBooks: 963, SignUp: 152, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 28289.799614816555
1 - NumBooks: 556, SignUp: 87, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 27949.448190534287
979 - NumBooks: 625, SignUp: 102, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 27517.559552441136
415 - NumBooks: 394, SignUp: 60, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 27435.737283359354
150 - NumBooks: 834, SignUp: 129, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 27242.818655818468
906 - NumBooks: 760, SignUp: 119, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 27242.627357833197
54 - NumBooks: 908, SignUp: 149, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 26981.716232819905
138 - NumBooks: 852, SignUp: 137, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 26728.401373472603
0 - NumBooks: 727, SignUp: 115, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 26581.142936350025
36 - NumBooks: 972, SignUp: 159, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 26452.557418225264
266 - NumBooks: 887, SignUp: 142, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 26446.806213796048
402 - NumBooks: 970, SignUp: 153, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 26258.143737943694
806 - NumBooks: 730, SignUp: 119, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 26149.382324047663
399 - NumBooks: 234, SignUp: 40, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 25951.14904752649
742 - NumBooks: 826, SignUp: 135, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 25916.92364071241
186 - NumBooks: 627, SignUp: 107, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 25791.3373993169
610 - NumBooks: 203, SignUp: 32, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 25771.686318845415
823 - NumBooks: 516, SignUp: 87, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 25762.960532981764
965 - NumBooks: 258, SignUp: 40, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 25521.06266022329
608 - NumBooks: 574, SignUp: 97, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 25251.483128070126
781 - NumBooks: 742, SignUp: 126, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 25039.93964051426
69 - NumBooks: 667, SignUp: 111, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 24769.149349964086
35 - NumBooks: 432, SignUp: 72, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 24520.51207683072
825 - NumBooks: 819, SignUp: 142, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 24510.23969221217
32 - NumBooks: 569, SignUp: 97, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 24154.98596570237
904 - NumBooks: 971, SignUp: 167, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 24143.403879272
529 - NumBooks: 802, SignUp: 140, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 23953.061703386607
129 - NumBooks: 984, SignUp: 169, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 23930.466219503232
966 - NumBooks: 859, SignUp: 149, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 23861.068312347415
66 - NumBooks: 281, SignUp: 48, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 23771.932713511214
555 - NumBooks: 995, SignUp: 169, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 23771.928809055236
507 - NumBooks: 829, SignUp: 139, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 23734.977261043525
148 - NumBooks: 919, SignUp: 156, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 23607.723611437672
701 - NumBooks: 445, SignUp: 84, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 23393.168139272744
452 - NumBooks: 922, SignUp: 165, BxD: 9, DifferentBooks: 0 ScoreHeuristic: 23390.245412898512
137 - NumBooks: 338, SignUp: 59, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 23249.40193224012
485 - NumBooks: 858, SignUp: 150, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 23239.114048040366
414 - NumBooks: 478, SignUp: 82, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 23215.73141371821
874 - NumBooks: 453, SignUp: 76, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 23164.145730382606
287 - NumBooks: 708, SignUp: 120, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 23142.916156561325
460 - NumBooks: 493, SignUp: 81, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 23112.719379135153
554 - NumBooks: 833, SignUp: 147, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 23033.150169681277
950 - NumBooks: 610, SignUp: 109, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 22861.422322732153
829 - NumBooks: 339, SignUp: 62, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 22546.064631552897
772 - NumBooks: 514, SignUp: 93, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 22399.108977215627
677 - NumBooks: 794, SignUp: 142, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 22396.336056033208
359 - NumBooks: 922, SignUp: 164, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 22363.522254951884
885 - NumBooks: 487, SignUp: 84, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 22121.068201807746
38 - NumBooks: 947, SignUp: 164, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 21570.748917957797
174 - NumBooks: 731, SignUp: 134, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 21543.224862774783
349 - NumBooks: 955, SignUp: 173, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 21499.725134684762
59 - NumBooks: 443, SignUp: 80, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 21140.330202621244
144 - NumBooks: 811, SignUp: 153, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 20461.76446392141
620 - NumBooks: 932, SignUp: 173, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 20324.60046034089
652 - NumBooks: 648, SignUp: 124, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 20269.642443364595
633 - NumBooks: 845, SignUp: 158, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 20233.656920860783
214 - NumBooks: 403, SignUp: 72, BxD: 8, DifferentBooks: 0 ScoreHeuristic: 20122.107474537115
146 - NumBooks: 325, SignUp: 60, BxD: 10, DifferentBooks: 0 ScoreHeuristic: 20057.649932638866
971 - NumBooks: 636, SignUp: 119, BxD: 6, DifferentBooks: 0 ScoreHeuristic: 19983.840810141206
799 - NumBooks: 941, SignUp: 176, BxD: 5, DifferentBooks: 0 ScoreHeuristic: 19960.826429787223
130 - NumBooks: 308, SignUp: 56, BxD: 7, DifferentBooks: 0 ScoreHeuristic: 19904.68392728309
